index,record_number,month,quality_code,rainfall_in,site,time,wateryear
20908935,51032283,Jul,0.0,0.0,RG14,07/07/2014 07:15:00 PM,2014
24498899,51255239,Aug,0.0,0.0,RG14,08/19/2016 10:55:00 PM,2016
15320342,42149548,May,0.0,0.0,RG11,05/25/2011 11:10:00 PM,2011
16818826,29447619,Aug,0.0,0.0,RG08,08/20/2012 12:50:00 AM,2012
13233463,29227824,Jul,0.0,0.0,RG08,07/18/2010 08:35:00 PM,2010
19490987,67985275,Jan,0.0,0.0,RG18,01/10/2013 08:55:00 AM,2013
3316875,62785980,Apr,0.0,0.0,RG17,04/06/2004 06:15:00 AM,2004
4861512,54303611,Dec,0.0,0.0,RG15,12/13/2004 02:00:00 PM,2005
24095270,38335709,Oct,0.0,0.0,RG10_30,10/21/2015 11:10:00 AM,2016
13679317,50534953,Oct,0.0,0.01,RG14,10/14/2009 11:05:00 PM,2010
11148140,16307656,Sep,0.0,0.0,RG04,09/16/2009 03:40:00 AM,2009
20406624,29668697,Sep,0.0,0.0,RG08,09/26/2014 04:00:00 PM,2014
7631425,20331644,Apr,0.0,0.0,RG05,04/20/2007 08:05:00 AM,2007
19512551,68006839,Mar,0.0,0.0,RG18,03/26/2013 05:55:00 AM,2013
13293073,33459689,Feb,0.0,0.01,RG09,02/10/2010 08:05:00 PM,2010
15354691,42183897,Sep,0.0,0.0,RG11,09/22/2011 05:35:00 AM,2011
15588085,54934056,Dec,0.0,0.0,RG15,12/11/2010 03:05:00 PM,2011
