index,StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature
10106349,AuroraBridge,"(47.643174, -122.347278)",11/20/2015 07:21:00 PM,1596023,44.27,39.2
18006201,AuroraBridge,"(47.643174, -122.347278)",09/30/2016 12:09:00 AM,1995340,62.01,55.32
30214267,SpokaneSwingBridge,"(47.571389, -122.351743)",03/08/2018 02:39:00 AM,2695930,44.2,49.13
19944839,AlbroPlaceAirportWay,"(47.547426, -122.314114)",02/11/2017 04:33:00 PM,1470327,48.29,47.13
23845152,SpokaneSwingBridge,"(47.571389, -122.351743)",06/23/2017 10:08:00 AM,2324799,82.2,69.88
17328754,AlbroPlaceAirportWay,"(47.547426, -122.314114)",08/14/2016 11:02:00 PM,1210016,84.7,71.74
28359702,MagnoliaBridge,"(47.633454, -122.387341)",12/08/2017 06:43:00 AM,2619640,37.59,37.16
30215613,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",03/08/2018 04:40:00 AM,1744668,41.84,45.57
23403856,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",06/15/2017 12:36:00 PM,1255471,64.82,64.82
7207443,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",06/09/2015 10:46:00 AM,194081,69.87,69.87
30743569,NE45StViaduct,"(47.66127, -122.301929)",03/31/2018 03:41:00 AM,2837521,50.62,46.08
24636275,MagnoliaBridge,"(47.633454, -122.387341)",07/16/2017 01:26:00 AM,2410463,70.41,59.52
20748863,AuroraBridge,"(47.643174, -122.347278)",04/05/2017 09:18:00 AM,2234554,51.78,49.86
18036564,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",10/02/2016 05:15:00 AM,991618,51.57,52.18
18175289,AlbroPlaceAirportWay,"(47.547426, -122.314114)",10/12/2016 01:57:00 AM,1293711,51.55,46.42
12741611,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",02/09/2016 09:44:00 AM,652107,43.46,43.68
18364897,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",10/25/2016 02:45:00 PM,1025308,65.08,61.91
9730397,JoseRizalBridgeNorth,"(47.59653, -122.317301)",10/31/2015 05:48:00 PM,1407169,55.38,54.68
12960461,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",02/10/2016 07:54:00 PM,548929,47.29,47.29
1342428,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",05/05/2014 09:44:00 PM,763762,57.71,57.71
19066454,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",12/15/2016 09:30:00 PM,2138934,35.38,35.38
26102725,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",08/25/2017 05:04:00 AM,2502207,61.64,61.64
